1_f1-score,1_precision,1_recall,1_support,2_f1-score,2_precision,2_recall,2_support,3_f1-score,3_precision,3_recall,3_support,4_f1-score,4_precision,4_recall,4_support,5_f1-score,5_precision,5_recall,5_support,accuracy,description,file,file_load_min,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,model_name,parm,predict_time_min,score_time_min,status,status_date,test_examples,test_features,total_time_min,train_examples,train_features,train_time_min,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,message
0.436523438,0.423295455,0.450604839,3968,0,0,0,1871,0.003143418,0.285714286,0.001580403,2531,0.024242424,0.303030303,0.012626263,4752,0.730969218,0.59630965,0.944186984,14889,0.567991146,review_body-tfidf-df_80-ngram12-112043-20,review_body-tfidf-df_80-ngram12-112043-20.csv,0,0.2389757,0.321669939,0.281799698,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 2:13,28011,20,0.1,84032,20,0.1,0.454774256,0.454151355,0.567991146,28011,
0.37716382,0.34595163,0.414566532,3968,0.105197245,0.126984127,0.089791555,1871,0.110479285,0.17555938,0.080600553,2531,0.199881141,0.18880988,0.21233165,4752,0.655099617,0.643676671,0.666935321,14889,0.462532576,review_body-tfidf-df_80-ngram13-112043-20,review_body-tfidf-df_80-ngram13-112043-20.csv,0,0.289564222,0.296196338,0.292845122,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.2,0,success,5/24/19 2:13,28011,20,0.4,84032,20,0.2,0.452559585,0.447523854,0.462532576,28011,
0,0,0,3968,0,0,0,1871,0,0,0,2531,0,0,0,4752,0.694125874,0.53154118,1,14889,0.53154118,review_body-tfidf-df_80-ngram13-112043-20,review_body-tfidf-df_80-ngram13-112043-20.csv,0,0.138825175,0.106308236,0.2,28011,RN,"{'n_jobs': 6, 'radius': 30}",5.1,0,success,5/24/19 2:18,28011,20,5.3,84032,20,0.2,0.368956486,0.282536026,0.53154118,28011,
0.436523438,0.423295455,0.450604839,3968,0,0,0,1871,0.003143418,0.285714286,0.001580403,2531,0.024242424,0.303030303,0.012626263,4752,0.730969218,0.59630965,0.944186984,14889,0.567991146,review_body-tfidf-df_80-ngram13-112043-20,review_body-tfidf-df_80-ngram13-112043-20.csv,0,0.2389757,0.321669939,0.281799698,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 2:18,28011,20,0,84032,20,0,0.454774256,0.454151355,0.567991146,28011,
0.407101865,0.315979955,0.572076613,3968,0.088478046,0.115716753,0.071619455,1871,0.131777292,0.171302149,0.107072303,2531,0.192557897,0.252215406,0.155723906,4752,0.672591705,0.66673266,0.678554638,14889,0.482596123,review_body-tfidf-df_90-ngram11-112043-52,review_body-tfidf-df_90-ngram11-112043-52.csv,0.01,0.298501361,0.304389385,0.317009383,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.8,0,success,5/24/19 2:19,28011,52,1.11,84032,52,0.3,0.465663631,0.465152634,0.482596123,28011,
0,0,0,3968,0,0,0,1871,0,0,0,2531,0,0,0,4752,0.694125874,0.53154118,1,14889,0.53154118,review_body-tfidf-df_90-ngram11-112043-52,review_body-tfidf-df_90-ngram11-112043-52.csv,0.01,0.138825175,0.106308236,0.2,28011,RN,"{'n_jobs': 6, 'radius': 30}",5.3,0,success,5/24/19 2:25,28011,52,5.61,84032,52,0.3,0.368956486,0.282536026,0.53154118,28011,
0.502488741,0.474272931,0.534274194,3968,0.00529661,0.294117647,0.002672368,1871,0.04586822,0.291666667,0.024891347,2531,0.106709493,0.350938967,0.062920875,4752,0.744088901,0.618721055,0.933172141,14889,0.584805969,review_body-tfidf-df_90-ngram11-112043-52,review_body-tfidf-df_90-ngram11-112043-52.csv,0.01,0.280890393,0.405943453,0.311586185,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 2:25,28011,52,0.11,84032,52,0.1,0.489297094,0.501596415,0.584805969,28011,
0.426435219,0.364432529,0.513860887,3968,0.084600132,0.110822511,0.068412614,1871,0.12962963,0.169103624,0.1050968,2531,0.191011236,0.251895245,0.153829966,4752,0.697900552,0.658465388,0.742360132,14889,0.507550605,review_body-tfidf-df_90-ngram12-112043-56,review_body-tfidf-df_90-ngram12-112043-56.csv,0.01,0.305915354,0.310943859,0.31671208,28011,KNN,"{'n_jobs': 6, 'n_neighbors': 5}",0.8,0,success,5/24/19 2:26,28011,56,1.11,84032,56,0.3,0.481139592,0.467042084,0.507550605,28011,
0,0,0,3968,0,0,0,1871,0,0,0,2531,0,0,0,4752,0.694125874,0.53154118,1,14889,0.53154118,review_body-tfidf-df_90-ngram12-112043-56,review_body-tfidf-df_90-ngram12-112043-56.csv,0.01,0.138825175,0.106308236,0.2,28011,RN,"{'n_jobs': 6, 'radius': 30}",5.1,0,success,5/24/19 2:32,28011,56,5.41,84032,56,0.3,0.368956486,0.282536026,0.53154118,28011,
0.501535554,0.47198755,0.535030242,3968,0.006342495,0.285714286,0.003206841,1871,0.051430641,0.308695652,0.028052153,2531,0.105939005,0.347368421,0.0625,4752,0.74479837,0.619850939,0.932836322,14889,0.58498447,review_body-tfidf-df_90-ngram12-112043-56,review_body-tfidf-df_90-ngram12-112043-56.csv,0.01,0.282009213,0.40672337,0.312325112,28011,LR,"{'n_jobs': 6, 'c': 1, 'max_iter': 300}",0,0,success,5/24/19 2:32,28011,56,0.11,84032,56,0.1,0.489980933,0.502244907,0.58498447,28011,
